Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Action_Bound_Loss        Adv_Mean                 Adv_Std                  A_Weight_Mean            A_Weight_Min             A_Weight_Max             Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.00517567151122623      131072                   3.547136068344116        9.778968811035156        5791                     3.5840327739715576       10.002744674682617       10928                    1.6945120096206665       -80.88594818115234       0.0                      1.3427599668502808       0.9743249416351318       1.8314704895019531       0.2535557448863983       20.0                     0.39664170145988464      0.3189828395843506       1.0                      
100                      0.08530857894155715      13238272                 8.743128776550293        16.698726654052734       4710                     5.915345191955566        13.686208724975586       955182                   0.2411765605211258       -70.83010864257812       0.0                      0.0021434188820421696    0.49507585167884827      1.603005051612854        0.0011792434379458427    20.0                     0.3827607333660126       0.3006989061832428       1.0                      
200                      0.16616789221763612      26345472                 18.922733306884766       34.13554382324219        7710                     12.46741771697998        22.840539932250977       570643                   2.814427137374878        -73.83345794677734       0.0                      0.03813515603542328      1.6913005113601685       1.6707844734191895       0.0037426238413900137    20.0                     0.37377041578292847      0.3078681230545044       1.0                      
300                      0.2514462423986859       39452672                 56.25132751464844        101.52737426757812       9622                     24.403491973876953       44.600242614746094       290208                   8.790031433105469        -71.44427490234375       0.0                      0.14458537101745605      2.9754104614257812       1.61716890335083         0.006558769382536411     20.0                     0.36943021416664124      0.3182620406150818       1.0                      
400                      0.33392806536621517      52559872                 174.9923095703125        280.20849609375          4105                     66.56043243408203        121.59114074707031       103058                   12.874581336975098       -63.37384796142578       3.643318180479582e-08    0.34781718254089355      3.603166341781616        1.4346702098846436       2.4630746338516474e-05   20.0                     0.3679986298084259       0.32386481761932373      1.0                      
500                      0.4161142545276218       65667072                 195.66586303710938       292.8604736328125        4100                     159.06729125976562       270.4674377441406        46021                    2.271268844604492        -56.885986328125         1.6416086268122854e-08   0.06303984671831131      1.5231515169143677       1.2877702713012695       6.875885664059823e-15    20.0                     0.36751556396484375      0.3266259431838989       1.0                      
600                      0.48688741869396635      78774272                 213.11216735839844       296.1898498535156        4097                     184.730712890625         289.5999450683594        42615                    1.2031629085540771       -56.849239349365234      5.541967329492081e-09    0.03825141862034798      1.0926194190979004       1.2863292694091797       2.1311082655690917e-21   20.0                     0.3675793707370758       0.32821306586265564      1.0                      
700                      0.5550944708453285       91881472                 226.07015991210938       296.0505065917969        4097                     199.78427124023438       293.1076354980469        42038                    0.7670337557792664       -54.934078216552734      0.0                      0.04544200003147125      0.8679978251457214       1.2435975074768066       6.179868173919195e-22    20.0                     0.3677521347999573       0.3298017978668213       1.0                      
800                      0.6192343380716112       104988672                235.1289520263672        296.119384765625         4096                     212.5128936767578        294.65899658203125       41779                    0.30002784729003906      -62.25128173828125       5.817885906367337e-08    0.03021262399852276      0.5486876964569092       1.4070782661437988       3.47375548373281e-21     20.0                     0.36787086725234985      0.3309149444103241       1.0                      
900                      0.6796008213361104       118095872                241.56488037109375       295.7217102050781        4096                     221.72080993652344       295.2771301269531        41673                    0.24019618332386017      -65.3205795288086        8.359983816319527e-09    0.03699001297354698      0.4997015595436096       1.4775185585021973       6.669039720463843e-08    20.0                     0.36787086725234985      0.3309149444103241       1.0                      
1000                     0.738479157951143        131203072                247.99566650390625       296.71826171875          4096                     229.45143127441406       295.9208984375           41574                    0.15600796043872833      -69.16278076171875       0.0                      0.006286845542490482     0.38516488671302795      1.5635515451431274       2.937642591405165e-07    20.0                     0.36787086725234985      0.3309149444103241       1.0                      
1100                     0.797895146144761        144310272                253.01341247558594       298.344970703125         4096                     234.4230194091797        296.21173095703125       41537                    0.15942160785198212      -68.10710906982422       1.5056052404816e-08      0.033651046454906464     0.3544148802757263       1.5385427474975586       1.3003737876715604e-05   20.0                     0.36787086725234985      0.3309149444103241       1.0                      
1200                     0.8561031863424513       157417472                258.0382080078125        300.0                    4096                     239.9507293701172        298.2844543457031        41224                    0.08019566535949707      -70.47974395751953       1.0500409786118325e-07   0.027033213526010513     0.27467969059944153      1.5924633741378784       0.00010806617501657456   20.0                     0.36787086725234985      0.3309149444103241       1.0                      
1300                     0.912804380721516        170524672                261.1917724609375        300.0                    4096                     244.766357421875         299.4337463378906        41052                    0.07498963177204132      -68.66841125488281       4.07293221371674e-08     -0.005033555440604687    0.26666784286499023      1.5500025749206543       1.384486691957676e-10    20.0                     0.36787086725234985      0.3309149444103241       1.0                      
1400                     0.9686496673027675       183631872                263.94073486328125       300.0                    4096                     248.24844360351562       299.7200622558594        41009                    0.07672551274299622      -69.95238494873047       7.680713309810017e-08    0.023593246936798096     0.2593299150466919       1.5800434350967407       4.60894142406687e-07     20.0                     0.36787086725234985      0.3309149444103241       1.0                      
