Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Lcp_Loss                 Adv_Mean                 Adv_Std                  Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.006072170337041219     131072                   10.623451232910156       20.143796920776367       4096                     9.787103652954102        20.174911499023438       4185                     7.342477798461914        0.00854975264519453      0.02430877648293972      1.0000792741775513       0.0                      5.533456802368164        2.985039472579956        1.7263082265853882       0.34873098134994507      0.10765077918767929      1.0                      
100                      0.1782050436735153       13238272                 27.8098087310791         39.34022903442383        4156                     16.9881591796875         29.740985870361328       438198                   1.4955209493637085       0.01056536566466093      0.0614471435546875       0.9999839067459106       0.0                      7.8377203941345215       0.02874523028731346      1.2354681491851807       0.3426443636417389       0.10987633466720581      1.0                      
200                      0.3484178128507402       26345472                 42.61189651489258        54.953819274902344       4330                     27.175304412841797       39.89068603515625        326182                   3.455418348312378        0.017980685457587242     0.06759338825941086      0.9998478889465332       0.0                      10.922306060791016       0.04314017668366432      1.8712258338928223       0.34078410267829895      0.11474943906068802      1.0                      
300                      0.5230387154552671       39452672                 101.29413604736328       135.28269958496094       7080                     38.2978515625            55.7313232421875         232362                   10.306904792785645       0.0237443745136261       0.11145629733800888      1.0002678632736206       0.0                      14.996134757995605       0.01446668989956379      3.3209784030914307       0.3399766981601715       0.11792410165071487      1.0                      
400                      0.6920596121417152       52559872                 216.52474975585938       298.955322265625         4096                     61.27634048461914        93.92251586914062        136573                   17.58684730529785        0.029869219288229942     0.11571960896253586      1.0000044107437134       0.0                      16.493619918823242       0.1744227409362793       4.353440761566162        0.33947643637657166      0.1209164559841156       1.0                      
500                      0.8618742613659964       65667072                 192.10321044921875       279.2255859375           4096                     92.42736053466797        144.77008056640625       87161                    22.35784149169922        0.02844054438173771      0.1175384521484375       0.9997092485427856       0.0                      17.416173934936523       0.3422195315361023       4.913919448852539        0.3392232656478882       0.12272694706916809      1.0                      
600                      1.024629947344462        78774272                 231.45436096191406       300.0                    4096                     142.51467895507812       224.45462036132812       56014                    17.824077606201172       0.021557394415140152     0.10597076267004013      1.0000836849212646       0.0                      18.24610710144043        0.23163439333438873      4.268067359924316        0.33905303478240967      0.1239403709769249       1.0                      
700                      1.1871817508008744       91881472                 246.5817108154297        300.0                    4096                     176.88299560546875       264.9050598144531        47209                    12.078446388244629       0.015877818688750267     0.095489501953125        0.9998577237129211       0.0                      18.707195281982422       0.13375931978225708      3.5100083351135254       0.33894240856170654      0.12436853349208832      1.0                      
800                      1.3486299950546687       104988672                244.24468994140625       300.0                    4096                     180.90415954589844       268.969970703125         46579                    11.2813081741333         0.007489572744816542     0.09217529743909836      0.9999534487724304       0.0                      17.187828063964844       -0.014448583126068115    3.381760835647583        0.3388916552066803       0.12463641166687012      1.0                      
900                      1.509191901286443        118095872                254.49935913085938       300.0                    4096                     197.58152770996094       282.1333923339844        44204                    11.331125259399414       0.009654464200139046     0.0978546142578125       0.9998391270637512       0.0                      17.432708740234375       -0.013868648558855057    3.378427267074585        0.3388916552066803       0.12463641166687012      1.0                      
